아파트명,Complex No
건영1차,2490
경희타운(도시형),121441
대우,12056
더하우스(도시형),133221
동신,1807
마이온(도시형),112255
"벽산,풍림",10685
"벽적골8단지두산,우성,한신",12045
벽적골8단지주공,3988
벽적골9단지주공,3991
벽적골롯데,3638
"살구골진덕,서광,성지,동아",1800
"삼성,태영",1803
신나무실5단지주공,2588
"신나무실6단지동보,신명",12042
신나무실건영2차,8028
"신나무실극동,풍림",7952
"신명,한국",1812
"신성,신안,쌍용,진흥",7954
"신원,미주",13465
쌍용,7953
아이-시티(도시형),121401
영통e-편한세상,26008
영통대우월드마크(주상복합),26780
영통라온프라이빗,109929
영통마크타워(도시형),121729
영통센트럴파크뷰,3992
영통아이파크,19012
영통에듀파크,1804
영통포레파크원,1808
영통풍림아이원3차,8400
영통하우스토리(주상복합),26173
청명마을삼성,8280
청명마을주공,1809
청명센트레빌,103509
현대,1802
